classifier acc,actual topic,recommend ids,recommend score,100 test set,200 test set,300 test set,400 test set,500 test set
0.556,19,226,0.1703611082641217,0.34,0.33,0.31333333333333335,0.315,0.328
0.56,12,228,0.1703014075325849,0.34,0.33,0.31333333333333335,0.315,0.33
0.56,7,216,0.17246487832049714,0.34,0.33,0.31333333333333335,0.315,0.33
0.562,11,452,0.17032061955159222,0.33,0.33,0.31666666666666665,0.3175,0.332
0.566,8,266,0.17037299323741276,0.33,0.33,0.31666666666666665,0.3175,0.332
0.568,6,407,0.17053744598081957,0.33,0.33,0.32,0.32,0.336
0.568,0,217,0.18076129061337845,0.33,0.335,0.3233333333333333,0.3225,0.338
0.57,16,62,0.1717948012067418,0.34,0.34,0.33,0.3275,0.342
0.57,14,103,0.1726162115556496,0.34,0.34,0.3333333333333333,0.33,0.344
0.57,17,371,0.1709089247367716,0.34,0.345,0.33666666666666667,0.3325,0.346
0.574,0,57,0.16926125142728948,0.34,0.345,0.33666666666666667,0.3325,0.35
0.576,16,265,0.17596092630369772,0.34,0.345,0.33666666666666667,0.33,0.348
0.576,0,3,0.16995819525891834,0.34,0.35,0.34,0.335,0.352
0.58,19,240,0.17000521608830818,0.34,0.35,0.34,0.335,0.352
0.584,16,403,0.17007781635301605,0.35,0.355,0.3433333333333333,0.34,0.356
0.588,6,372,0.17629139525683982,0.35,0.355,0.3466666666666667,0.345,0.362
0.588,16,325,0.1699680204380173,0.34,0.355,0.3466666666666667,0.345,0.362
0.592,0,63,0.1809993608474019,0.34,0.355,0.3466666666666667,0.345,0.362
0.594,10,408,0.1801267814758782,0.34,0.36,0.35,0.3475,0.364
0.594,17,262,0.17144861677026257,0.34,0.36,0.35,0.3475,0.364
0.596,2,409,0.18091546225944202,0.34,0.36,0.35,0.3475,0.366
0.6,0,454,0.1852888453821985,0.36,0.37,0.3566666666666667,0.3525,0.372
0.602,8,375,0.18009550186260326,0.35,0.365,0.35333333333333333,0.35,0.37
0.606,0,58,0.17622373578253242,0.35,0.365,0.35333333333333333,0.35,0.37
0.612,0,410,0.18202144641127185,0.36,0.37,0.36,0.355,0.374
0.612,0,376,0.18104619155872087,0.36,0.37,0.36,0.355,0.376
0.61,0,268,0.18033266545180404,0.36,0.37,0.36333333333333334,0.3575,0.38
0.614,19,277,0.17943020011205119,0.36,0.37,0.36333333333333334,0.3575,0.382
0.618,0,278,0.17946228718830742,0.36,0.37,0.36333333333333334,0.3575,0.382
