classifier acc,actual topic,recommend ids,recommend score,100 test set,200 test set,300 test set,400 test set,500 test set
0.718,7,414,0.19585040091237035,0.52,0.43,0.41,0.4075,0.418
0.718,12,332,0.17962784976877147,0.52,0.43,0.4066666666666667,0.405,0.416
0.718,3,373,0.1785906441828611,0.52,0.43,0.4066666666666667,0.405,0.416
0.72,6,372,0.1781746276821956,0.53,0.435,0.41,0.4075,0.418
0.73,9,77,0.17567380367246183,0.53,0.435,0.41,0.405,0.416
0.732,4,43,0.17194247078572644,0.53,0.435,0.4066666666666667,0.4025,0.416
0.732,2,118,0.18724638422375778,0.54,0.44,0.41,0.405,0.42
0.732,3,487,0.183659113433657,0.54,0.44,0.41333333333333333,0.4075,0.42
0.732,9,362,0.17943478024217005,0.54,0.44,0.42,0.4125,0.424
0.736,17,366,0.1851145420562889,0.54,0.44,0.42,0.4125,0.424
0.736,11,367,0.19073595785972525,0.54,0.44,0.42,0.4125,0.428
0.736,7,368,0.19626961676786583,0.54,0.44,0.42333333333333334,0.4125,0.428
0.738,12,200,0.1786946167427625,0.54,0.44,0.42333333333333334,0.4125,0.428
0.738,8,369,0.206887372355536,0.54,0.44,0.42333333333333334,0.4125,0.428
0.742,6,201,0.17870663051052016,0.53,0.435,0.42,0.41,0.428
0.748,11,59,0.17821420775914326,0.53,0.435,0.42,0.4125,0.43
0.748,1,360,0.1794839061399999,0.53,0.435,0.42,0.4125,0.43
0.748,9,202,0.17875943664663635,0.53,0.435,0.42,0.4125,0.43
0.748,9,361,0.1837149115603444,0.53,0.44,0.42333333333333334,0.415,0.432
0.748,1,218,0.17718852016274247,0.53,0.44,0.42333333333333334,0.415,0.432
0.75,6,80,0.17463540714163792,0.53,0.44,0.42333333333333334,0.415,0.432
0.752,1,79,0.17503772616770757,0.52,0.435,0.42,0.4125,0.43
0.754,11,256,0.1772132239146303,0.53,0.44,0.4266666666666667,0.4175,0.432
0.756,1,78,0.1738095798139195,0.54,0.445,0.43,0.42,0.436
0.76,19,370,0.2490104270462541,0.54,0.455,0.43666666666666665,0.4225,0.438
0.758,17,172,0.1733610130867152,0.54,0.455,0.43666666666666665,0.4225,0.438
0.76,3,38,0.1729064706835793,0.53,0.45,0.43333333333333335,0.42,0.436
0.762,19,363,0.1823126256325974,0.53,0.45,0.43333333333333335,0.42,0.438
0.762,15,46,0.17083092433045355,0.53,0.45,0.43333333333333335,0.42,0.442
