classifier acc,actual topic,recommend ids,recommend score,100 test set,200 test set,300 test set,400 test set,500 test set
0.664,0,246,0.17709638036623768,0.44,0.39,0.39,0.375,0.394
0.666,4,251,0.17705866813699256,0.44,0.39,0.39,0.375,0.394
0.666,3,141,0.17200857894610713,0.46,0.4,0.39666666666666667,0.38,0.398
0.668,3,355,0.1749703617058662,0.46,0.41,0.4033333333333333,0.3875,0.404
0.67,8,247,0.1771075383962999,0.46,0.41,0.4033333333333333,0.3875,0.404
0.674,15,220,0.18433833730823632,0.46,0.405,0.4,0.385,0.402
0.676,12,288,0.19283023734410848,0.46,0.405,0.4033333333333333,0.3875,0.404
0.68,9,361,0.18756932059828588,0.46,0.405,0.4,0.385,0.402
0.68,6,201,0.19143414283943805,0.46,0.405,0.4,0.385,0.402
0.682,10,180,0.2131576046490817,0.46,0.405,0.4,0.385,0.402
0.68,0,364,0.19570605854437562,0.46,0.405,0.4,0.385,0.402
0.686,5,126,0.17148189503590663,0.46,0.405,0.4,0.385,0.402
0.69,13,142,0.17200377105864878,0.46,0.405,0.4,0.385,0.404
0.694,9,127,0.1714513093115411,0.46,0.405,0.4,0.3875,0.406
0.692,10,132,0.18731118451128564,0.46,0.405,0.4,0.3875,0.406
0.692,6,254,0.17698369960931742,0.45,0.4,0.39666666666666667,0.385,0.404
0.694,8,375,0.190447205898293,0.46,0.405,0.4,0.3875,0.406
0.694,15,441,0.22760740192330847,0.46,0.41,0.4033333333333333,0.3875,0.406
0.698,11,367,0.21015499695134734,0.47,0.415,0.4066666666666667,0.39,0.41
0.698,16,221,0.18370379534522208,0.47,0.415,0.4066666666666667,0.39,0.41
0.698,8,369,0.21220275969609395,0.47,0.415,0.4066666666666667,0.39,0.41
0.7,19,140,0.180207082460999,0.47,0.415,0.4066666666666667,0.3925,0.412
0.7,6,252,0.17675755907187687,0.47,0.415,0.4066666666666667,0.3925,0.412
0.7,15,352,0.17660878034205338,0.47,0.415,0.41,0.395,0.416
0.7,5,353,0.1787806724738984,0.49,0.425,0.4166666666666667,0.4025,0.422
0.702,3,373,0.18532809395035182,0.49,0.425,0.4166666666666667,0.405,0.424
0.706,13,354,0.1827789195311821,0.49,0.425,0.4166666666666667,0.405,0.426
0.708,14,421,0.18919938669345934,0.49,0.425,0.4166666666666667,0.405,0.428
0.708,11,59,0.17043881575799313,0.49,0.425,0.4166666666666667,0.4075,0.43
0.71,1,78,0.1694423965509336,0.5,0.43,0.42,0.41,0.432
0.712,10,420,0.18870497675838357,0.5,0.43,0.42,0.41,0.432
0.714,9,81,0.1687032838433084,0.5,0.43,0.42,0.4125,0.434
0.716,15,356,0.19164696201070888,0.49,0.43,0.42,0.4125,0.434
0.718,1,95,0.17534909991594821,0.49,0.43,0.42,0.4125,0.434
0.718,19,357,0.19336624680726713,0.49,0.435,0.42333333333333334,0.4175,0.438
0.718,7,440,0.18433378202227632,0.49,0.435,0.42333333333333334,0.4175,0.44
0.718,19,370,0.1797593772509913,0.49,0.435,0.42333333333333334,0.42,0.442
0.722,5,82,0.16971313855870374,0.48,0.43,0.42,0.4175,0.44
0.724,19,97,0.16901338189353884,0.49,0.435,0.42333333333333334,0.42,0.444
0.728,1,418,0.16898878553692226,0.49,0.435,0.42333333333333334,0.42,0.446
0.732,14,359,0.19517438897892278,0.49,0.435,0.4266666666666667,0.4225,0.448
0.74,9,77,0.16723165539649618,0.49,0.435,0.4266666666666667,0.4225,0.45
0.74,8,93,0.16934238899483048,0.49,0.435,0.4266666666666667,0.42,0.448
0.742,6,134,0.1672405468948882,0.49,0.435,0.4266666666666667,0.42,0.448
0.742,17,438,0.1801856361074068,0.5,0.44,0.43333333333333335,0.425,0.452
0.744,10,437,0.17971342065229798,0.5,0.44,0.43333333333333335,0.425,0.45
0.746,6,419,0.1848115535990693,0.5,0.445,0.43666666666666665,0.43,0.454
0.746,12,92,0.16813162952399147,0.5,0.445,0.43666666666666665,0.4325,0.458
0.746,11,135,0.16768852536887488,0.5,0.445,0.43666666666666665,0.4325,0.458
0.746,6,417,0.18074210076259764,0.5,0.445,0.43666666666666665,0.4325,0.46
0.748,5,416,0.17939725836431902,0.5,0.45,0.44,0.435,0.46
0.75,11,125,0.17374520164535137,0.5,0.45,0.44,0.435,0.462
0.752,4,322,0.1935620965316573,0.5,0.45,0.44,0.435,0.462
0.754,19,363,0.1724039601429091,0.5,0.45,0.44333333333333336,0.4375,0.462
0.76,1,98,0.1709042927970833,0.5,0.445,0.44,0.435,0.46
0.762,1,47,0.1678962512808573,0.5,0.445,0.44,0.435,0.462
0.76,10,248,0.18464722172665562,0.5,0.445,0.44,0.435,0.462
0.76,7,139,0.17502849851174393,0.5,0.445,0.44,0.4325,0.46
0.758,12,431,0.17362889515640567,0.49,0.44,0.43666666666666665,0.43,0.458
0.758,2,308,0.20612535766429488,0.49,0.445,0.44666666666666666,0.44,0.468
0.76,5,128,0.1718553803254908,0.49,0.445,0.44666666666666666,0.44,0.468
0.762,2,320,0.18895239019666257,0.49,0.445,0.44666666666666666,0.44,0.468
0.766,15,430,0.17185819263796617,0.49,0.445,0.44666666666666666,0.44,0.468
0.766,13,129,0.17804185202747247,0.49,0.45,0.45,0.4425,0.472
0.766,9,362,0.19702804482691436,0.49,0.45,0.44666666666666666,0.44,0.47
0.766,6,319,0.1869425454797991,0.49,0.45,0.44666666666666666,0.44,0.47
0.766,2,434,0.19880934782131238,0.5,0.45,0.45,0.44,0.47
0.768,1,360,0.1951945679216486,0.52,0.46,0.45666666666666667,0.445,0.474
0.768,16,351,0.17714873619552454,0.52,0.46,0.45666666666666667,0.445,0.474
0.77,11,350,0.1764008986133722,0.52,0.46,0.45666666666666667,0.445,0.474
0.77,11,349,0.17560963853503012,0.53,0.465,0.46,0.4475,0.476
0.774,13,292,0.17510147874008247,0.53,0.465,0.46,0.4475,0.476
0.778,2,432,0.19556840028532946,0.53,0.465,0.46,0.4475,0.476
0.784,6,318,0.1831836960388051,0.53,0.465,0.46,0.4475,0.478
0.784,8,289,0.21578394611898846,0.55,0.48,0.47,0.4525,0.482
0.788,1,290,0.21993124227173405,0.56,0.49,0.4766666666666667,0.4575,0.484
0.792,14,291,0.2238186463658056,0.57,0.495,0.48,0.46,0.486
0.792,19,317,0.18143174607644713,0.57,0.495,0.48,0.46,0.486
0.792,7,293,0.17560901782717583,0.57,0.495,0.48,0.46,0.488
0.794,11,204,0.1713112112160071,0.57,0.495,0.48333333333333334,0.4625,0.49
