classifier acc,actual topic,recommend ids,recommend score,100 test set,200 test set,300 test set,400 test set,500 test set
0.68,2,115,0.15451913057793668,0.55,0.465,0.45,0.415,0.44
0.68,19,307,0.15671143307274926,0.55,0.47,0.4533333333333333,0.4175,0.442
0.678,2,306,0.15604865679833568,0.55,0.47,0.4533333333333333,0.4175,0.442
0.68,3,365,0.15811836106152793,0.55,0.47,0.45666666666666667,0.42,0.444
0.682,18,299,0.1599722100646994,0.54,0.465,0.4533333333333333,0.42,0.444
0.682,16,300,0.1653706534391731,0.54,0.465,0.45666666666666667,0.4225,0.446
0.684,1,341,0.1565768083593038,0.55,0.475,0.4633333333333333,0.4275,0.45
0.686,10,340,0.1561742402790541,0.55,0.475,0.4633333333333333,0.4275,0.45
0.688,16,338,0.15577347075541986,0.56,0.475,0.4633333333333333,0.4275,0.45
0.688,0,56,0.15372710852664434,0.55,0.47,0.46,0.425,0.448
0.688,7,285,0.15317750760583002,0.55,0.47,0.46,0.425,0.45
0.688,9,337,0.15457240879887826,0.55,0.465,0.45666666666666667,0.4225,0.448
0.688,7,302,0.2020543085429992,0.55,0.465,0.45666666666666667,0.4225,0.448
0.692,0,335,0.1537737451432395,0.55,0.465,0.45666666666666667,0.4225,0.448
0.692,5,334,0.15337576876269804,0.57,0.475,0.4666666666666667,0.4325,0.456
0.694,17,21,0.1531775030843977,0.57,0.475,0.4666666666666667,0.4325,0.456
0.7,3,6,0.1526468581273325,0.57,0.48,0.47,0.435,0.458
0.702,15,55,0.1537140726051187,0.57,0.48,0.47,0.435,0.46
0.704,11,303,0.2283420331932752,0.57,0.48,0.47,0.435,0.46
0.708,13,292,0.162591620997974,0.57,0.48,0.47,0.435,0.46
0.708,8,304,0.235520899900793,0.57,0.48,0.47,0.435,0.46
0.708,7,414,0.17163037057341643,0.57,0.48,0.47,0.435,0.46
0.708,14,114,0.15465969058598736,0.57,0.48,0.47,0.435,0.46
0.71,9,286,0.15281322131886688,0.57,0.485,0.47333333333333333,0.4375,0.462
0.71,6,42,0.15123142378689275,0.57,0.485,0.47333333333333333,0.4375,0.462
0.712,16,467,0.15329472352980603,0.56,0.48,0.47,0.435,0.46
0.712,2,33,0.15074467251264662,0.56,0.48,0.47,0.435,0.46
0.712,1,23,0.15039501549379072,0.56,0.48,0.47,0.435,0.46
0.718,8,113,0.1545403532997799,0.56,0.49,0.4766666666666667,0.44,0.464
0.718,3,20,0.1502742430570201,0.56,0.495,0.48,0.4425,0.466
0.718,3,287,0.15418247090716244,0.56,0.495,0.48333333333333334,0.445,0.47
0.718,3,70,0.14999376746643167,0.57,0.5,0.4866666666666667,0.4475,0.472
0.724,12,92,0.1497149687538787,0.57,0.5,0.4866666666666667,0.4475,0.472
0.724,5,34,0.14958611043924427,0.57,0.5,0.49,0.45,0.474
0.726,7,87,0.14956071094789747,0.58,0.505,0.49333333333333335,0.455,0.478
0.728,0,32,0.1501546953113942,0.59,0.51,0.49666666666666665,0.4575,0.48
0.728,4,31,0.15004235938461752,0.59,0.515,0.5033333333333333,0.4625,0.484
0.73,11,59,0.15514187765269918,0.59,0.515,0.5033333333333333,0.4625,0.484
0.732,3,229,0.17451038708944883,0.59,0.515,0.5033333333333333,0.4625,0.486
0.732,2,181,0.16285948426450506,0.6,0.52,0.5066666666666667,0.4675,0.49
0.736,13,24,0.1503717398872715,0.59,0.515,0.5066666666666667,0.47,0.492
0.736,0,58,0.1549352602602273,0.6,0.515,0.5066666666666667,0.47,0.492
0.736,13,283,0.15171368324275755,0.6,0.515,0.5066666666666667,0.47,0.492
0.742,13,282,0.15136182950086544,0.6,0.515,0.5066666666666667,0.47,0.492
0.742,6,71,0.1497311297037344,0.6,0.515,0.5066666666666667,0.47,0.492
0.742,5,126,0.14971433569772444,0.6,0.52,0.5133333333333333,0.475,0.496
0.744,6,254,0.15496808833152076,0.6,0.52,0.5133333333333333,0.4775,0.498
0.746,7,121,0.15466296080216668,0.6,0.52,0.5133333333333333,0.4775,0.498
0.752,7,253,0.15521951548509574,0.6,0.52,0.51,0.475,0.5
0.758,16,466,0.15319025358577404,0.6,0.52,0.51,0.475,0.5
0.76,12,288,0.16283504708054464,0.6,0.525,0.5133333333333333,0.4775,0.502
0.762,4,465,0.15314355636424778,0.6,0.525,0.5133333333333333,0.4775,0.502
0.764,8,247,0.15171621744717,0.6,0.525,0.5133333333333333,0.4775,0.502
0.766,10,152,0.150304746328331,0.61,0.53,0.5166666666666667,0.48,0.504
0.766,7,186,0.14959416659554992,0.61,0.53,0.5166666666666667,0.4825,0.506
0.766,9,459,0.149478996547888,0.61,0.53,0.5166666666666667,0.4825,0.506
0.766,5,464,0.1530403915791367,0.61,0.53,0.5166666666666667,0.4825,0.506
0.768,18,41,0.1512328964898491,0.61,0.53,0.5166666666666667,0.4825,0.506
0.772,6,443,0.15506755377823123,0.61,0.53,0.5166666666666667,0.4825,0.506
0.774,10,444,0.15597279119299903,0.61,0.535,0.52,0.485,0.508
0.776,15,446,0.15680067635182987,0.62,0.54,0.5233333333333333,0.4875,0.51
0.776,18,448,0.15754653753371423,0.62,0.545,0.5266666666666666,0.49,0.512
